date,Campsite,1,2,3,4,5,6,2P
5/1/2015,camping0,1,,1,,,,
5/1/2015,camping2,,,4,,,,
5/1/2015,camping3,7,1,,,,,
5/1/2015,camping5,1,1,,,,,
5/1/2015,camping6,4,,,,,,
5/1/2015,camping7,2,,,,,,
5/1/2015,camping8,1,,,,,,3
5/1/2015,entrance0,4,1,1,,,,
5/1/2015,entrance1,4,2,1,2,1,,
5/1/2015,entrance2,3,4,5,2,1,,
5/1/2015,entrance3,8,1,1,3,2,,
5/1/2015,entrance4,8,4,3,5,2,,
5/1/2015,gate3,,,,,,,2
5/1/2015,gate4,,,,,,,4
5/1/2015,gate5,,,,,,,6
5/1/2015,gate8,,,,,,,8
5/1/2015,general-gate1,11,4,4,5,1,,2
5/1/2015,general-gate2,11,4,4,5,1,,4
5/1/2015,general-gate3,,,,,,,1
5/1/2015,general-gate4,8,4,3,2,,,2
5/1/2015,general-gate5,11,2,1,4,1,,7
5/1/2015,general-gate6,2,,,,,,
5/1/2015,general-gate7,13,4,4,2,1,,2
5/1/2015,ranger-base,,,,,,,8
5/1/2015,ranger-stop0,11,4,4,5,1,,5
5/1/2015,ranger-stop2,11,4,4,5,1,,3
5/1/2015,ranger-stop3,,,,,,,2
5/1/2015,ranger-stop4,,,,,,,2
5/1/2015,ranger-stop5,,,,,,,4
5/1/2015,ranger-stop6,,,,,,,6
5/2/2015,camping0,1,,1,,,,
5/2/2015,camping2,2,,1,,,,
5/2/2015,camping3,1,2,2,,,,
5/2/2015,camping4,,1,1,,,,
5/2/2015,camping5,3,,,,,,
5/2/2015,camping6,1,,2,,,,
5/2/2015,camping7,,1,,,,,
5/2/2015,camping8,,,2,,,,1
5/2/2015,entrance0,3,3,4,,1,,
5/2/2015,entrance1,5,2,2,,1,1,
5/2/2015,entrance2,4,3,1,,2,,
5/2/2015,entrance3,5,2,5,,2,1,
5/2/2015,entrance4,2,2,3,,4,,
5/2/2015,gate2,,,,,,,2
5/2/2015,gate3,,,,,,,4
5/2/2015,gate4,,,,,,,2
5/2/2015,gate5,,,,,,,6
5/2/2015,gate6,,,,,,,6
5/2/2015,gate7,,,,,,,6
5/2/2015,gate8,,,,,,,6
5/2/2015,general-gate1,8,4,6,,2,,2
5/2/2015,general-gate2,8,4,6,,2,,2
5/2/2015,general-gate3,,,,,,,1
5/2/2015,general-gate4,6,5,6,,1,,2
5/2/2015,general-gate5,3,2,5,,2,,5
5/2/2015,general-gate6,,1,,,,,
5/2/2015,general-gate7,10,5,7,,1,1,3
5/2/2015,ranger-base,,,,,,,6
5/2/2015,ranger-stop0,8,4,6,,2,,3
5/2/2015,ranger-stop1,,,,,,,2
5/2/2015,ranger-stop2,8,4,6,,2,,3
5/2/2015,ranger-stop3,,,,,,,4
5/2/2015,ranger-stop4,,,,,,,2
5/2/2015,ranger-stop5,,,,,,,2
5/2/2015,ranger-stop6,,,,,,,8
5/2/2015,ranger-stop7,,,,,,,6
5/3/2015,camping0,3,,1,,,,
5/3/2015,camping2,,3,,,,,
5/3/2015,camping3,1,,,,,,
5/3/2015,camping4,2,,1,,,,
5/3/2015,camping5,5,1,,,,,2
5/3/2015,camping6,,,2,,,,
5/3/2015,camping7,,,1,,,,
5/3/2015,camping8,1,,1,,,,1
5/3/2015,entrance0,6,6,1,4,,,
5/3/2015,entrance1,4,4,5,1,2,,
5/3/2015,entrance2,4,3,3,1,,,
5/3/2015,entrance3,5,6,2,1,2,,
5/3/2015,entrance4,5,2,5,1,,,
5/3/2015,gate3,,,,,,,4
5/3/2015,gate4,,,,,,,2
5/3/2015,gate5,,,,,,,6
