date,Campsite,site_num,1,2,3,4,5,6,2P
5/1/2015,camping0,1,1,,1,,,,
5/1/2015,camping2,2,,,4,,,,
5/1/2015,camping3,3,7,1,,,,,
5/1/2015,camping5,4,1,1,,,,,
5/1/2015,camping6,5,4,,,,,,
5/1/2015,camping7,6,2,,,,,,
5/1/2015,camping8,7,1,,,,,,3
5/1/2015,entrance0,8,4,1,1,,,,
5/1/2015,entrance1,9,4,2,1,2,1,,
5/1/2015,entrance2,10,3,4,5,2,1,,
5/1/2015,entrance3,11,8,1,1,3,2,,
5/1/2015,entrance4,12,8,4,3,5,2,,
5/1/2015,gate3,13,,,,,,,2
5/1/2015,gate4,14,,,,,,,4
5/1/2015,gate5,15,,,,,,,6
5/1/2015,gate8,16,,,,,,,8
5/1/2015,general-gate1,17,11,4,4,5,1,,2
5/1/2015,general-gate2,18,11,4,4,5,1,,4
5/1/2015,general-gate3,19,,,,,,,1
5/1/2015,general-gate4,20,8,4,3,2,,,2
5/1/2015,general-gate5,21,11,2,1,4,1,,7
5/1/2015,general-gate6,22,2,,,,,,
5/1/2015,general-gate7,23,13,4,4,2,1,,2
5/1/2015,ranger-base,24,,,,,,,8
5/1/2015,ranger-stop0,25,11,4,4,5,1,,5
5/1/2015,ranger-stop2,26,11,4,4,5,1,,3
5/1/2015,ranger-stop3,27,,,,,,,2
5/1/2015,ranger-stop4,28,,,,,,,2
5/1/2015,ranger-stop5,29,,,,,,,4
5/1/2015,ranger-stop6,30,,,,,,,6
5/2/2015,camping0,1,1,,1,,,,
5/2/2015,camping2,2,2,,1,,,,
5/2/2015,camping3,3,1,2,2,,,,
5/2/2015,camping4,31,,1,1,,,,
5/2/2015,camping5,4,3,,,,,,
5/2/2015,camping6,5,1,,2,,,,
5/2/2015,camping7,6,,1,,,,,
5/2/2015,camping8,7,,,2,,,,1
5/2/2015,entrance0,8,3,3,4,,1,,
5/2/2015,entrance1,9,5,2,2,,1,1,
5/2/2015,entrance2,10,4,3,1,,2,,
5/2/2015,entrance3,11,5,2,5,,2,1,
5/2/2015,entrance4,12,2,2,3,,4,,
5/2/2015,gate2,32,,,,,,,2
5/2/2015,gate3,13,,,,,,,4
5/2/2015,gate4,14,,,,,,,2
5/2/2015,gate5,15,,,,,,,6
5/2/2015,gate6,33,,,,,,,6
5/2/2015,gate7,34,,,,,,,6
5/2/2015,gate8,16,,,,,,,6
5/2/2015,general-gate1,17,8,4,6,,2,,2
5/2/2015,general-gate2,18,8,4,6,,2,,2
5/2/2015,general-gate3,19,,,,,,,1
5/2/2015,general-gate4,20,6,5,6,,1,,2
5/2/2015,general-gate5,21,3,2,5,,2,,5
5/2/2015,general-gate6,22,,1,,,,,
5/2/2015,general-gate7,23,10,5,7,,1,1,3
5/2/2015,ranger-base,24,,,,,,,6
5/2/2015,ranger-stop0,25,8,4,6,,2,,3
5/2/2015,ranger-stop1,35,,,,,,,2
5/2/2015,ranger-stop2,26,8,4,6,,2,,3
5/2/2015,ranger-stop3,27,,,,,,,4
5/2/2015,ranger-stop4,28,,,,,,,2
5/2/2015,ranger-stop5,29,,,,,,,2
5/2/2015,ranger-stop6,30,,,,,,,8
5/2/2015,ranger-stop7,36,,,,,,,6
5/3/2015,camping0,1,3,,1,,,,
5/3/2015,camping2,2,,3,,,,,
5/3/2015,camping3,3,1,,,,,,
5/3/2015,camping4,31,2,,1,,,,
5/3/2015,camping5,4,5,1,,,,,2
5/3/2015,camping6,5,,,2,,,,
5/3/2015,camping7,6,,,1,,,,
5/3/2015,camping8,7,1,,1,,,,1
5/3/2015,entrance0,8,6,6,1,4,,,
5/3/2015,entrance1,9,4,4,5,1,2,,
5/3/2015,entrance2,10,4,3,3,1,,,
5/3/2015,entrance3,11,5,6,2,1,2,,
5/3/2015,entrance4,12,5,2,5,1,,,
5/3/2015,gate3,13,,,,,,,4
5/3/2015,gate4,14,,,,,,,2
5/3/2015,gate5,15,,,,,,,6
5/3/2015,gate6,33,,,,,,,4
5/3/2015,gate7,34,,,,,,,4
5/3/2015,gate8,16,,,,,,,6
5/3/2015,general-gate1,17,8,5,4,2,,,2
5/3/2015,general-gate2,18,8,5,4,2,,,
5/3/2015,general-gate3,19,1,,,,,,1
5/3/2015,general-gate4,20,8,3,4,1,,,2
5/3/2015,general-gate5,21,5,2,3,1,,,3
5/3/2015,general-gate6,22,,,1,,,,
5/3/2015,general-gate7,23,12,6,5,1,2,,2
5/3/2015,ranger-base,24,,,,,,,6
5/3/2015,ranger-stop0,25,8,5,4,2,,,2
5/3/2015,ranger-stop2,26,8,5,4,2,,,2
5/3/2015,ranger-stop3,27,,,,,,,4
5/3/2015,ranger-stop4,28,,,,,,,2
5/3/2015,ranger-stop5,29,,,,,,,2
5/3/2015,ranger-stop6,30,,,,,,,6
5/3/2015,ranger-stop7,36,,,,,,,4
5/4/2015,camping0,1,1,1,2,,,,
5/4/2015,camping1,37,2,,,,,,
5/4/2015,camping2,2,,1,,,,,
5/4/2015,camping3,3,2,2,2,,,,
5/4/2015,camping5,4,1,,,,,,
5/4/2015,camping6,5,1,,,,,,
5/4/2015,camping7,6,,,1,,,,
5/4/2015,camping8,7,1,1,1,,,,2
5/4/2015,entrance0,8,9,1,1,1,,1,
