date,day,1,2,3,4,5,6,2P
5/1/2015,1,121,40,40,40,12,0,71
5/2/2015,2,78,45,66,0,22,3,84
5/3/2015,3,94,56,51,19,6,0,67
5/4/2015,4,79,52,49,26,8,14,108
5/5/2015,5,96,53,29,24,0,0,48
5/6/2015,6,126,88,36,16,15,2,42
5/7/2015,7,73,65,21,31,0,10,27
5/8/2015,8,137,98,53,4,6,0,72
5/9/2015,9,123,88,20,21,22,0,46
5/10/2015,10,125,79,17,9,30,2,132
5/11/2015,11,120,69,51,20,4,2,81
5/12/2015,12,89,81,73,22,9,22,120
5/13/2015,13,98,124,34,35,10,2,59
5/14/2015,14,123,60,54,20,39,7,59
5/15/2015,15,86,120,51,26,18,0,133
5/16/2015,16,118,117,50,14,0,14,53
5/17/2015,17,100,108,38,24,15,0,68
5/18/2015,18,96,100,48,13,23,7,20
5/19/2015,19,78,97,37,24,8,0,48
5/20/2015,20,137,56,43,6,7,7,67
5/21/2015,21,137,67,34,35,7,9,82
5/22/2015,22,121,72,21,13,13,0,69
5/23/2015,23,109,93,56,12,3,2,67
5/24/2015,24,150,72,64,22,13,0,63
5/25/2015,25,120,75,48,32,6,0,144
5/26/2015,26,123,59,26,8,6,0,66
5/27/2015,27,125,60,45,7,0,0,69
5/28/2015,28,129,58,45,27,14,16,105
5/29/2015,29,90,94,65,39,8,0,69
5/30/2015,30,102,69,68,21,9,0,56
5/31/2015,31,94,95,43,6,25,10,80
6/1/2015,32,220,184,81,28,25,9,69
6/2/2015,33,216,142,154,38,10,0,65
6/3/2015,34,298,133,122,15,36,2,37
6/4/2015,35,319,172,142,26,25,21,53
6/5/2015,36,286,220,145,18,2,23,147
6/6/2015,37,321,347,115,14,8,4,57
6/7/2015,38,361,204,105,21,35,6,71
6/8/2015,39,377,148,109,32,8,18,36
6/9/2015,40,293,193,101,24,17,7,34
6/10/2015,41,347,258,112,37,2,16,118
6/11/2015,42,360,153,138,2,16,0,49
6/12/2015,43,395,233,123,7,11,17,91
6/13/2015,44,401,227,155,9,19,18,26
6/14/2015,45,415,237,146,6,14,19,53
6/15/2015,46,452,189,101,43,8,12,102
6/16/2015,47,434,215,145,25,49,6,95
