date,day,CarType,Total,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
5/1/2015,1,1,121,1,,,7,,1,4,2,1,4,4,3,8,8,,,,,,,,,,,11,11,,8,11,2,13,,11,,11,,,,,
5/1/2015,1,2,40,,,,1,,1,,,,1,2,4,1,4,,,,,,,,,,,4,4,,4,2,,4,,4,,4,,,,,
5/1/2015,1,3,40,1,,4,,,,,,,1,1,5,1,3,,,,,,,,,,,4,4,,3,1,,4,,4,,4,,,,,
5/1/2015,1,4,40,,,,,,,,,,,2,2,3,5,,,,,,,,,,,5,5,,2,4,,2,,5,,5,,,,,
5/1/2015,1,5,12,,,,,,,,,,,1,1,2,2,,,,,,,,,,,1,1,,,1,,1,,1,,1,,,,,
5/1/2015,1,2P,71,,,,,,,,,3,,,,,,,,,2,4,6,,,8,,2,4,1,2,7,,2,8,5,,3,2,2,4,6,
5/2/2015,2,1,78,1,,2,1,,3,1,,,3,5,4,5,2,,,,,,,,,,,8,8,,6,3,,10,,8,,8,,,,,
5/2/2015,2,2,45,,,,2,1,,,1,,3,2,3,2,2,,,,,,,,,,,4,4,,5,2,1,5,,4,,4,,,,,
5/2/2015,2,3,66,1,,1,2,1,,2,,2,4,2,1,5,3,,,,,,,,,,,6,6,,6,5,,7,,6,,6,,,,,
5/2/2015,2,5,22,,,,,,,,,,1,1,2,2,4,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
5/2/2015,2,6,3,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
5/2/2015,2,2P,84,,,,,,,,,1,,,,,,,,2,4,2,6,6,6,6,,2,2,1,2,5,,3,6,3,2,3,4,2,2,8,6
5/3/2015,3,1,94,3,,,1,2,5,,,1,6,4,4,5,5,,,,,,,,,,,8,8,1,8,5,,12,,8,,8,,,,,
5/3/2015,3,2,56,,,3,,,1,,,,6,4,3,6,2,,,,,,,,,,,5,5,,3,2,,6,,5,,5,,,,,
5/3/2015,3,3,51,1,,,,1,,2,1,1,1,5,3,2,5,,,,,,,,,,,4,4,,4,3,1,5,,4,,4,,,,,
5/3/2015,3,4,19,,,,,,,,,,4,1,1,1,1,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
5/3/2015,3,5,6,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,
