Date,1,2,3,4,5,6,2P,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
5/1/2015,121,40,40,40,12,0,71,2,0,4,8,0,2,4,2,4,6,10,15,15,22,0,0,0,2,4,6,0,0,8,0,27,29,1,19,26,2,26,8,30,0,28,2,2,4,6,0
5/2/2015,78,45,66,0,22,3,84,2,0,3,5,2,3,3,1,3,11,11,10,15,11,0,0,2,4,2,6,6,6,6,0,22,22,1,20,17,1,27,6,23,2,23,4,2,2,8,6
5/3/2015,94,56,51,19,6,0,67,4,0,3,1,3,8,2,1,3,17,16,11,16,13,0,0,0,4,2,6,4,4,6,0,21,19,2,18,14,1,28,6,21,0,21,4,2,2,6,4
5/4/2015,79,52,49,26,8,14,108,4,2,1,6,0,1,1,1,5,13,13,12,13,9,0,0,2,8,4,8,6,6,8,2,26,26,2,20,17,1,26,8,27,2,27,8,2,4,9,6
5/5/2015,96,53,29,24,0,0,48,3,0,4,0,2,3,4,1,3,13,8,9,17,15,0,0,0,6,4,6,2,0,6,0,16,18,2,13,18,1,20,6,18,0,16,6,0,4,6,0
5/6/2015,126,88,36,16,15,2,42,2,2,1,6,0,6,6,2,4,15,19,16,19,11,0,0,2,2,2,4,2,2,4,2,28,28,2,19,14,2,29,4,28,2,28,2,2,2,4,2
5/7/2015,73,65,21,31,0,10,27,0,0,3,5,3,3,3,1,3,17,11,16,13,10,0,0,2,2,0,1,1,0,2,0,18,18,0,15,8,1,25,2,18,2,19,2,2,0,1,0
5/8/2015,137,98,53,4,6,0,72,2,4,5,3,2,5,3,2,2,16,18,18,16,18,0,0,2,6,2,6,4,2,8,4,29,29,2,21,20,2,33,8,29,2,29,6,2,2,6,2
5/9/2015,123,88,20,21,22,0,46,4,0,2,2,4,6,5,5,3,16,16,9,14,13,0,0,2,0,0,2,2,0,6,0,28,28,0,24,18,5,36,6,29,2,29,0,2,0,2,0
5/10/2015,125,79,17,9,30,2,132,1,0,2,9,2,3,7,3,3,18,7,19,14,14,0,0,4,6,4,8,8,6,8,0,30,30,3,21,21,3,32,8,32,4,32,6,6,4,10,6
5/11/2015,120,69,51,20,4,2,81,4,0,3,5,3,3,0,1,9,21,15,10,15,14,0,0,0,6,2,6,4,4,8,0,27,27,2,23,20,1,30,8,28,0,28,6,2,2,6,4
5/12/2015,89,81,73,22,9,22,120,3,0,2,2,1,5,5,7,5,10,10,20,19,18,0,0,4,4,6,6,4,4,8,0,37,39,3,20,23,7,26,8,41,4,39,4,4,6,8,4
5/13/2015,98,124,34,35,10,2,59,2,0,2,0,2,5,8,3,7,18,12,21,21,13,0,0,2,2,4,4,2,0,6,0,33,37,4,14,23,3,24,6,37,2,35,2,0,4,4,0
5/14/2015,123,60,54,20,39,7,59,1,0,3,2,3,5,1,3,4,10,18,18,18,20,1,1,0,2,2,5,1,0,6,0,35,35,1,24,20,3,31,6,36,0,36,2,2,2,5,0
5/15/2015,86,120,51,26,18,0,133,0,0,5,3,5,5,1,6,4,15,20,13,19,16,0,0,6,6,4,8,8,6,7,0,33,32,2,25,24,6,43,7,34,6,35,6,4,4,10,6
5/16/2015,118,117,50,14,0,14,53,5,2,6,4,3,4,3,9,7,12,19,19,20,13,0,0,0,2,0,1,1,0,5,1,33,34,1,19,21,9,34,5,35,0,34,2,2,0,1,0
5/17/2015,100,108,38,24,15,0,68,2,0,3,6,5,4,1,2,6,12,15,19,12,11,1,1,0,0,0,1,1,2,6,0,36,36,1,28,16,2,34,6,38,0,39,0,4,0,1,2
5/18/2015,96,100,48,13,23,7,20,0,0,5,4,5,7,6,2,5,17,15,11,23,16,0,0,0,2,0,2,2,2,2,0,26,26,0,17,20,2,30,2,26,0,26,2,0,0,2,2
5/19/2015,78,97,37,24,8,0,48,3,0,1,3,6,2,5,0,4,17,19,12,18,12,1,1,2,0,0,1,1,0,4,0,25,25,0,21,16,0,31,4,26,2,27,0,2,0,1,0
5/20/2015,137,56,43,6,7,7,67,4,0,2,3,6,6,3,3,3,16,12,10,17,16,0,0,2,2,4,2,2,2,4,0,27,29,1,18,20,3,29,4,30,2,28,2,2,4,3,2
5/21/2015,137,67,34,35,7,9,82,4,0,0,1,3,6,3,0,6,16,11,23,21,15,2,2,2,2,2,7,7,0,8,0,34,34,3,17,18,0,25,8,35,2,36,2,6,2,8,0
5/22/2015,121,72,21,13,13,0,69,1,0,3,5,4,7,3,0,9,11,13,14,14,13,1,1,2,2,2,5,5,2,6,0,26,28,0,16,15,0,26,6,28,2,28,2,0,2,5,2
5/23/2015,109,93,56,12,3,2,67,2,0,8,8,4,5,3,1,6,19,16,12,17,14,0,0,2,2,2,4,4,4,6,0,25,25,1,24,16,1,36,6,25,2,27,2,0,2,7,4
5/24/2015,150,72,64,22,13,0,63,2,2,2,7,6,2,5,7,5,14,17,17,14,16,0,0,0,2,2,2,0,0,6,2,38,38,2,21,25,7,27,6,40,0,40,2,4,2,2,0
5/25/2015,120,75,48,32,6,0,144,2,0,4,3,2,7,1,2,7,18,17,19,17,13,1,1,4,8,4,7,7,6,8,0,33,33,2,25,21,2,37,8,36,4,35,8,4,4,9,6
5/26/2015,123,59,26,8,6,0,66,1,2,3,6,3,7,6,3,2,17,13,13,14,12,1,1,4,0,2,5,7,2,6,2,21,21,1,13,10,3,23,6,21,4,22,0,0,2,7,2
5/27/2015,125,60,45,7,0,0,69,1,0,7,3,4,3,5,3,6,13,9,17,9,20,0,0,0,2,4,7,5,2,6,0,25,25,1,16,17,3,21,6,26,0,25,2,0,4,7,2
5/28/2015,129,58,45,27,14,16,105,1,0,3,3,2,3,7,3,7,17,12,19,21,17,1,1,0,4,6,9,7,0,8,0,33,33,3,16,23,3,28,8,34,0,34,4,8,6,10,0
5/29/2015,90,94,65,39,8,0,69,4,0,4,2,1,2,7,1,7,9,16,15,19,16,2,2,0,4,2,8,6,2,8,0,33,33,1,19,24,1,25,8,33,0,33,4,2,2,8,2
5/30/2015,102,69,68,21,9,0,56,2,0,9,3,8,5,2,2,5,15,17,13,15,11,1,1,0,4,4,5,1,0,6,0,24,24,2,25,14,2,37,6,24,0,25,4,0,4,5,0
5/31/2015,94,95,43,6,25,10,80,2,0,5,2,2,3,4,5,8,18,14,16,21,11,1,1,2,4,2,3,3,2,6,0,30,30,1,18,17,5,30,6,31,2,32,4,4,2,4,2
6/1/2015,220,184,81,28,25,9,69,2,0,6,14,5,9,12,11,8,22,24,20,30,31,0,0,2,4,2,4,4,4,4,0,54,54,2,40,44,11,60,4,55,2,55,4,2,2,5,4
6/2/2015,216,142,154,38,10,0,65,7,2,9,9,8,13,16,5,15,22,25,31,26,27,0,0,0,8,8,8,2,0,8,1,53,53,4,39,31,5,52,8,53,0,53,8,0,8,8,0
6/3/2015,298,133,122,15,36,2,37,7,2,7,11,13,14,8,5,16,29,31,22,40,31,0,0,0,2,2,0,0,0,4,2,56,56,4,45,36,5,71,4,57,0,57,2,2,2,0,0
6/4/2015,319,172,142,26,25,21,53,8,2,14,11,14,8,9,20,16,26,38,29,44,26,0,0,0,4,2,6,4,2,6,2,69,69,1,43,41,20,64,6,69,0,69,4,2,2,6,2
6/5/2015,286,220,145,18,2,23,147,10,2,6,12,12,23,19,12,17,42,28,36,41,33,0,0,6,6,6,6,6,6,6,1,64,64,5,53,44,12,84,6,67,6,67,6,6,6,9,6
6/6/2015,321,347,115,14,8,4,57,6,3,17,19,12,17,16,13,18,22,27,41,45,43,0,0,0,6,6,6,0,0,6,2,80,80,5,54,49,13,76,6,80,0,80,6,0,6,6,0
6/7/2015,361,204,105,21,35,6,71,7,0,15,11,17,32,7,15,11,33,33,29,43,34,0,0,0,4,4,8,4,2,8,0,66,66,2,54,38,15,87,8,66,0,66,4,0,4,8,2
6/8/2015,377,148,109,32,8,18,36,11,2,8,15,18,12,15,10,9,39,35,32,48,26,1,1,4,0,0,3,3,0,4,1,60,60,2,50,35,10,82,4,60,4,61,0,0,0,3,0
